N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
7,20,800,0.125,0.5,0,0.000347222,1440,1.11E-05,0.117127,6.03669,0.229247,6.38307,Mon Jul 22 22:50:03 2019
7,24,1152,0.125,0.5,0,0.000289352,1728,1.11E-05,0.143518,10.014,0.314354,10.4719,Mon Jul 22 22:51:05 2019
7,28,1568,0.125,0.5,0,0.000248016,2016,1.11E-05,0.165939,16.1295,0.432801,16.7283,Mon Jul 22 22:52:53 2019
7,32,2048,0.125,0.5,0,0.000217014,2304,1.11E-05,0.196201,23.9116,0.560636,24.6684,Mon Jul 22 22:55:37 2019
7,36,2592,0.125,0.5,0,0.000192901,2592,1.11E-05,0.228684,33.9786,0.710183,34.9175,Mon Jul 22 22:59:37 2019
7,40,3200,0.125,0.5,0,0.000173611,2880,1.11E-05,0.275088,45.0721,0.54009,45.8873,Mon Jul 22 23:05:11 2019
7,44,3872,0.125,0.5,0,0.000157828,3168,1.11E-05,0.308421,61.4402,1.05014,62.7988,Mon Jul 22 23:12:49 2019
7,48,4608,0.125,0.5,0,0.000144676,3456,1.11E-05,0.426121,79.8797,1.24886,81.5547,Mon Jul 22 23:22:48 2019
7,52,5408,0.125,0.5,0,0.000133547,3744,1.11E-05,0.518069,101.946,1.47082,103.935,Mon Jul 22 23:35:38 2019
7,56,6272,0.125,0.5,0,0.000124008,4032,1.11E-05,0.627992,131.235,1.79031,133.653,Mon Jul 22 23:52:05 2019
7,60,7200,0.125,0.5,0,0.000115741,4320,1.11E-05,0.779931,163.423,2.07394,166.276,Tue Jul 23 00:13:27 2019
7,64,8192,0.125,0.5,0,0.000108507,4608,1.11E-05,0.946188,201.153,2.37133,204.471,Tue Jul 23 00:39:53 2019
7,80,12800,0.125,0.5,0,8.68E-05,5760,1.11E-05,1.8646,367.772,3.51118,373.148,Tue Jul 23 16:59:55 2019
7,96,18432,0.125,0.5,0,7.23E-05,6912,1.11E-05,3.58304,655.546,5.04538,664.175,Tue Jul 23 17:22:08 2019
7,112,25088,0.125,0.5,0,6.20E-05,8064,1.11E-05,6.21946,1017.43,6.93242,1030.58,Tue Jul 23 17:56:35 2019
